Month,Assignments
13/04/13,6127
13/05/13,6128
13/06/13,5956
13/07/13,6038
13/08/13,6039
13/09/13,6029
13/10/13,6082
13/11/13,6111
13/12/13,6109
13/01/14,6071
13/02/14,6113
13/03/14,6076.5
13/04/14,5892.5
13/05/14,5138
13/06/14,5895.5
13/07/14,5652.5
13/08/14,5599.5
13/09/14,5741.5
13/10/14,5383.5
13/11/14,4702.5
13/12/14,5421
13/01/15,5212
13/02/15,5107.5
13/03/15,5125.5
13/04/15,5074
13/05/15,5010
13/06/15,4949
13/07/15,4832
13/08/15,4799
13/09/15,4774
13/10/15,4800
13/11/15,4780
13/12/15,4775
